"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","TRY","PC_GDP","A","2016",1.913916,
"AUS","EDUEXP","TRY","PC_GDP","A","2017",2.01614,
"AUS","EDUEXP","TRY","PC_GDP","A","2018",1.887302,
"AUS","EDUEXP","TRY","PC_GDP","A","2019",1.922114,
"AUT","EDUEXP","TRY","PC_GDP","A","2016",1.743497,
"AUT","EDUEXP","TRY","PC_GDP","A","2017",1.713224,
"AUT","EDUEXP","TRY","PC_GDP","A","2018",1.73456,
"AUT","EDUEXP","TRY","PC_GDP","A","2019",1.748262,
"BEL","EDUEXP","TRY","PC_GDP","A","2016",1.488991,
"BEL","EDUEXP","TRY","PC_GDP","A","2017",1.511137,
"BEL","EDUEXP","TRY","PC_GDP","A","2018",1.518773,
"BEL","EDUEXP","TRY","PC_GDP","A","2019",1.520486,
"CAN","EDUEXP","TRY","PC_GDP","A","2016",2.346683,
"CAN","EDUEXP","TRY","PC_GDP","A","2017",2.314068,
"CAN","EDUEXP","TRY","PC_GDP","A","2018",2.326779,
"CAN","EDUEXP","TRY","PC_GDP","A","2019",2.182295,
"CZE","EDUEXP","TRY","PC_GDP","A","2016",0.9441393,
"CZE","EDUEXP","TRY","PC_GDP","A","2017",0.9341756,
"CZE","EDUEXP","TRY","PC_GDP","A","2018",1.193145,
"CZE","EDUEXP","TRY","PC_GDP","A","2019",1.202717,
"DNK","EDUEXP","TRY","PC_GDP","A","2016",2.055428,
"DNK","EDUEXP","TRY","PC_GDP","A","2017",1.855698,
"DNK","EDUEXP","TRY","PC_GDP","A","2018",1.848712,
"DNK","EDUEXP","TRY","PC_GDP","A","2019",1.834394,
"FIN","EDUEXP","TRY","PC_GDP","A","2016",1.662414,
"FIN","EDUEXP","TRY","PC_GDP","A","2017",1.562842,
"FIN","EDUEXP","TRY","PC_GDP","A","2018",1.534749,
"FIN","EDUEXP","TRY","PC_GDP","A","2019",1.516949,
"FRA","EDUEXP","TRY","PC_GDP","A","2016",1.445158,
"FRA","EDUEXP","TRY","PC_GDP","A","2017",1.453482,
"FRA","EDUEXP","TRY","PC_GDP","A","2018",1.46805,
"FRA","EDUEXP","TRY","PC_GDP","A","2019",1.478523,
"DEU","EDUEXP","TRY","PC_GDP","A","2016",1.221983,
"DEU","EDUEXP","TRY","PC_GDP","A","2017",1.214661,
"DEU","EDUEXP","TRY","PC_GDP","A","2018",1.23751,
"DEU","EDUEXP","TRY","PC_GDP","A","2019",1.279297,
"GRC","EDUEXP","TRY","PC_GDP","A","2017",0.8093058,
"GRC","EDUEXP","TRY","PC_GDP","A","2018",0.8618426,
"GRC","EDUEXP","TRY","PC_GDP","A","2019",0.9320505,
"HUN","EDUEXP","TRY","PC_GDP","A","2016",1.051388,
"HUN","EDUEXP","TRY","PC_GDP","A","2017",1.074725,
"HUN","EDUEXP","TRY","PC_GDP","A","2018",1.067952,
"HUN","EDUEXP","TRY","PC_GDP","A","2019",0.8946554,
"ISL","EDUEXP","TRY","PC_GDP","A","2016",1.253788,
"ISL","EDUEXP","TRY","PC_GDP","A","2017",1.267089,
"ISL","EDUEXP","TRY","PC_GDP","A","2018",1.177336,
"ISL","EDUEXP","TRY","PC_GDP","A","2019",1.25556,
"IRL","EDUEXP","TRY","PC_GDP","A","2016",0.9939369,
"IRL","EDUEXP","TRY","PC_GDP","A","2017",0.9200414,
"IRL","EDUEXP","TRY","PC_GDP","A","2018",0.8793467,
"IRL","EDUEXP","TRY","PC_GDP","A","2019",0.8324902,
"ITA","EDUEXP","TRY","PC_GDP","A","2016",0.8899967,
"ITA","EDUEXP","TRY","PC_GDP","A","2017",0.897915,
"ITA","EDUEXP","TRY","PC_GDP","A","2018",0.9023937,
"ITA","EDUEXP","TRY","PC_GDP","A","2019",0.9047233,
"JPN","EDUEXP","TRY","PC_GDP","A","2016",1.366571,
"JPN","EDUEXP","TRY","PC_GDP","A","2017",1.363401,
"JPN","EDUEXP","TRY","PC_GDP","A","2018",1.362092,
"JPN","EDUEXP","TRY","PC_GDP","A","2019",1.38074,
"KOR","EDUEXP","TRY","PC_GDP","A","2016",1.640632,
"KOR","EDUEXP","TRY","PC_GDP","A","2017",1.557664,
"KOR","EDUEXP","TRY","PC_GDP","A","2018",1.565149,
"KOR","EDUEXP","TRY","PC_GDP","A","2019",1.516248,
"LUX","EDUEXP","TRY","PC_GDP","A","2016",0.4638441,
"LUX","EDUEXP","TRY","PC_GDP","A","2017",0.4759363,
"LUX","EDUEXP","TRY","PC_GDP","A","2018",0.4241494,
"LUX","EDUEXP","TRY","PC_GDP","A","2019",0.4594754,
"MEX","EDUEXP","TRY","PC_GDP","A","2016",1.365066,
"MEX","EDUEXP","TRY","PC_GDP","A","2017",1.191791,
"MEX","EDUEXP","TRY","PC_GDP","A","2018",1.425752,
"MEX","EDUEXP","TRY","PC_GDP","A","2019",1.385032,
"NLD","EDUEXP","TRY","PC_GDP","A","2016",1.694849,
"NLD","EDUEXP","TRY","PC_GDP","A","2017",1.687339,
"NLD","EDUEXP","TRY","PC_GDP","A","2018",1.675509,
"NLD","EDUEXP","TRY","PC_GDP","A","2019",1.670528,
"NZL","EDUEXP","TRY","PC_GDP","A","2016",1.748697,
"NZL","EDUEXP","TRY","PC_GDP","A","2017",1.689819,
"NZL","EDUEXP","TRY","PC_GDP","A","2018",1.62437,
"NZL","EDUEXP","TRY","PC_GDP","A","2019",1.62871,
"NZL","EDUEXP","TRY","PC_GDP","A","2020",1.643658,
"POL","EDUEXP","TRY","PC_GDP","A","2016",1.184349,
"POL","EDUEXP","TRY","PC_GDP","A","2017",1.183536,
"POL","EDUEXP","TRY","PC_GDP","A","2018",1.195564,
"POL","EDUEXP","TRY","PC_GDP","A","2019",1.256274,
"PRT","EDUEXP","TRY","PC_GDP","A","2016",1.152244,
"PRT","EDUEXP","TRY","PC_GDP","A","2017",1.172411,
"PRT","EDUEXP","TRY","PC_GDP","A","2018",1.143874,
"PRT","EDUEXP","TRY","PC_GDP","A","2019",1.148546,
"SVK","EDUEXP","TRY","PC_GDP","A","2016",1.002454,
"SVK","EDUEXP","TRY","PC_GDP","A","2017",0.9617335,
"SVK","EDUEXP","TRY","PC_GDP","A","2018",0.9276281,
"SVK","EDUEXP","TRY","PC_GDP","A","2019",0.9455325,
"ESP","EDUEXP","TRY","PC_GDP","A","2016",1.246049,
"ESP","EDUEXP","TRY","PC_GDP","A","2017",1.251582,
"ESP","EDUEXP","TRY","PC_GDP","A","2018",1.26515,
"ESP","EDUEXP","TRY","PC_GDP","A","2019",1.282023,
"SWE","EDUEXP","TRY","PC_GDP","A","2016",1.601489,
"SWE","EDUEXP","TRY","PC_GDP","A","2017",1.566895,
"SWE","EDUEXP","TRY","PC_GDP","A","2018",1.563825,
"SWE","EDUEXP","TRY","PC_GDP","A","2019",1.55344,
"TUR","EDUEXP","TRY","PC_GDP","A","2016",1.891798,
"TUR","EDUEXP","TRY","PC_GDP","A","2017",1.67646,
"TUR","EDUEXP","TRY","PC_GDP","A","2018",1.698561,
"TUR","EDUEXP","TRY","PC_GDP","A","2019",1.618887,
"GBR","EDUEXP","TRY","PC_GDP","A","2016",1.858855,
"GBR","EDUEXP","TRY","PC_GDP","A","2017",1.936575,
"GBR","EDUEXP","TRY","PC_GDP","A","2018",2.000508,
"GBR","EDUEXP","TRY","PC_GDP","A","2019",1.983454,
"USA","EDUEXP","TRY","PC_GDP","A","2016",2.55852,
"USA","EDUEXP","TRY","PC_GDP","A","2017",2.587567,
